	mock1_1	mock2_1	salt_1h_1	salt_2h_1	heat_1h_1	heat_2h_1	mock1_2	mock2_2	salt_1h_2	salt_2h_2	heat_1h_2	heat_2h_2
ENSG00000162746	0.7293	0.7424	0.3127	0.2684	0.5014	0.5966	0.7779	0.7773	0.2834	0.1227	0.8399	0.3358
ENSG00000081721	5.3826	4.7769	1.9825	2.3249	3.6567	1.9747	4.7047	4.5382	1.0561	1.0469	3.1243	1.2808
ENSG00000118217	3.5483	3.56	3.5949	2.356	3.3365	2.1455	3.3224	3.8185	3.4073	1.6526	3.398	1.6263
ENSG00000162745	1.9564	2.3736	0.9738	0.8487	1.9353	1.1159	1.3559	1.5764	0.4875	0.5122	1.3206	0.5287
ENSG00000227818	0	0	0.1234	0.7678	0	0	0	0	0.3243	0.9127	0	0
ENSG00000198929	0.2237	0.2278	0.4961	0.2058	0.3862	0.304	0.2033	0.1975	0.51	0.2447	0.4749	0.2213
ENSG00000239887	0.3051	0.3422	0.4796	0.2584	0.3759	0.3139	0.4327	0.3157	0.5675	0.3898	0.506	0.3305
ENSG00000171722	0	0	0	0	0	0	0	0	0	0	0.0167	0.0173
ENSG00000198574	0.0117	0.0208	0	0	0	0	0	0	0	0.0114	0	0
ENSG00000152332	10.6382	9.0549	5.3194	7.0888	9.4179	5.8181	7.9157	8.2569	4.0939	3.7802	7.8176	4.6132
ENSG00000117143	16.1952	14.1864	13.7057	16.8088	15.4871	14.7604	12.4141	12.0934	10.5414	12.058	13.4547	12.3089
ENSG00000162733	22.8412	21.0128	18.7567	21.5089	20.5217	12.881	23.908	24.9242	20.29	17.17	23.4208	13.4848
ENSG00000132196	0.9325	0.9474	3.3135	2.6145	1.4752	0.8571	0.9055	0.7786	4.2509	3.1772	1.6743	1.2117
ENSG00000185860	0.1736	0.1125	0.1876	0.17	0.0512	0.0128	0.121	0.1385	0.1361	0.1399	0.0504	0.0448
ENSG00000117152	26.4316	24.2298	8.9336	14.0885	9.4577	4.2999	26.8707	31.3059	6.5108	6.4842	10.8176	2.9667
ENSG00000143248	0.2823	0.2169	0.2584	0.2666	0.2517	0.2108	0.296	0.3004	0.1653	0.2428	0.2694	0.2082
ENSG00000237756	0	0	0	0	0	0	0	0	0	0	0	0
